ID;TITLE;AUTHOR;TYPE;LOCATION;DATE;ABSLINK;FORMLINK;AXIS;PAPERLINK
A048;On the Energy Consumption Impact when Liquefying Different Natural Gases with a Fixed Mixed Refrigerant Working Fluid;Rafael de Pelegrini Soares;Pôster;A definir;Local;https://goo.gl/G11AKv;https://goo.gl/sxvnWJ;Otimização de Processos;a
A049;Cost optimization of neutralizing amines used in corrosion control off overhead systems;Rafael de Pelegrini Soares;Pôster;A definir;Local;https://goo.gl/SkKu6J;https://goo.gl/gdTwMp;Otimização de Processos;a
A050;Application of an optimization model for hydrogen networks;Patricia Rodrigues da Silva;Oral;A definir;Local;https://goo.gl/gyZ7zs;https://goo.gl/A8gTC7;Otimização de Processos;a
A051;Synthesis of Alternative Flowsheet for the Process of Energy Generation from MSW;Júlia Pancini de Oliveira;Oral;A definir;Local;https://goo.gl/9iXpaS;https://goo.gl/54D48o;Síntese e Projeto de Processos;a
A052;Optimization of an Ammonia Synthesis Reactor According to the Activity of Components;Kennedy de Barros Matos;Oral;A definir;Local;https://goo.gl/zvdCy2;https://goo.gl/7KYFGG;Otimização de Processos;a
A053;Explicit Solution of Isotopomer Labeling Balances for Metabolic Flux Estimation;Rafael David de Oliveira;Pôster;A definir;Local;https://goo.gl/xfkYr8;https://goo.gl/cxSoZ3;Modelagem e Simulação de Processos;a
A054;Review of multiple-effect evaporation dynamic modeling and control;Erick Yuki Emori;Pôster;A definir;Local;https://goo.gl/bHr3wG;https://goo.gl/gtd48y;Modelagem e Simulação de Processos;a
A055;Bullheading optimization study under PMCD technique;Gabrielle Fontella de Moraes Oliveira;Pôster;A definir;Local;https://goo.gl/gk7Bhh;https://goo.gl/21ncig;Modelagem e Simulação de Processos;a
A056;Nonlinear Model Predictive Control of a Depropanizer Column;Ana Carolina Guimarães Costa;Pôster;A definir;Local;https://goo.gl/FRStE1;https://goo.gl/rfydqt;Controle e Instrumentação de Processos;a
A057;A practical model predictive control strategy to centrifugal compressor anti-surge protection;Rodrigo Lima Meira;Oral;A definir;Local;https://goo.gl/Lntk3i;https://goo.gl/DyAgQo;Controle e Instrumentação de Processos;a
A058;Design of Novel Carbon Nanothread-based Nanoporous Materials;André R. Muniz;Oral;A definir;Local;https://goo.gl/Qep5eU;https://goo.gl/c66zAo;Modelagem Molecular e Projeto de Produto ;a
A059;Water Sources Diagram and its Applications;Ewerton Emmanuel da Silva Calixto;Pôster;A definir;Local;https://goo.gl/7WuwXB;https://goo.gl/n5sy2U;Integração e Intensificação de Processos;a
A060;Retro-Techno-Economic-Environmental Analysis (RTEEA): PSE tools to define research & development targets applied to the sugarcane biorefinery case;Andrew Milli Elias;Pôster;A definir;Local;https://goo.gl/URqHk6;https://goo.gl/tbCdw9;Modelagem e Simulação de Processos;a
A061;API and Interface Development for Biodiesel Reaction System Optimization;Rony Szuster;Pôster;A definir;Local;https://goo.gl/tu6U66;https://goo.gl/ZrKZUF;Síntese e Projeto de Processos;a
A062;Prediction of NRTL model parameters through artificial neural networks;Ana Bárbara Moulin Cansian;Pôster;A definir;Local;https://goo.gl/wiaUzb;https://goo.gl/KUu9fy;Tratamento de Dados e Aprendizado de Máquina;a
A063;Computational simulation for the calculation of a pipeline diameter with validation of the Poiseuille formula in laminar flow;Renato de Marchi Vieira dos Santos;Pôster;A definir;Local;https://goo.gl/1BB28k;https://goo.gl/2i16Uq;Modelagem e Simulação de Processos;a
A064;Study of the economic viability of ethanol production from coffee husks;Victor Hugo Princisval Marinho;Pôster;A definir;Local;https://goo.gl/hSCTfT;https://goo.gl/YUf1RL;Modelagem e Simulação de Processos;a
A065;Kinetics of Ni2+-Cr3+ mixture adsorption using artificial neural networks;Gabriel Yoshiaki Ottaiano;Pôster;A definir;Local;https://goo.gl/zi8d1M;https://goo.gl/ZxJy9M;Modelagem e Simulação de Processos;a
A066;Economic Evaluation of Process Intensification in Ethylbenzene Production;Pedro Gabriel Junqueira Lopes;Pôster;A definir;Local;https://goo.gl/iU2bf9;https://goo.gl/jiA5zt;Integração e Intensificação de Processos;a
A067;Application of an Integrated Methodology for the Synthesis of Water Networks and Wastewater Treatment in the Pulp and Paper Industry;Thamiris Dias Silva Mascarenhas;Pôster;A definir;Local;https://goo.gl/cz9tFx;https://goo.gl/Cg1YBj;Integração e Intensificação de Processos;a
A068;Analysis of the Degree of Mixing in Passive Microdevices;Natália de Camargo Lima Beluci;Pôster;A definir;Local;https://goo.gl/ZfnPZr;https://goo.gl/atfep9;Modelagem e Simulação de Processos;a
A069;VBA Computational Tool for Modeling and Analyzing the Operating Performance of a Cooling Tower;Jade Spinola Ávila;Oral;A definir;Local;https://goo.gl/CLHNgS;https://goo.gl/hHyFJx;Modelagem e Simulação de Processos;a
A070;Influence of Air Flow Variation on a Cooling Tower: The Case of a Refinery;Jade Spinola Ávila;Oral;A definir;Local;https://goo.gl/zWtdbN;https://goo.gl/eYmNcV;Detecção e Diagnóstico de Falhas;a
A071;Technical and Economic Efficiency Modeling In Sucronergetic Mills Steam Generation Centers ;Roque Machado de Senna;Oral;A definir;Local;https://goo.gl/3WR5Jd;https://goo.gl/oYx5sR;Aplicações Industriais de Ferramentas de PSE;a
A072;Mathematical and statistical modeling of Water Quality Index. ;Helianildes Silva Ferreira;Pôster;A definir;Local;https://goo.gl/Fy18Kg;https://goo.gl/4wf6P8;Modelagem e Simulação de Processos;a
A073;A MILP framework for optimal Biorefinery Design suited for Forest Systems evaluation;Bruno Theozzo;Oral;A definir;Local;https://goo.gl/dkWxgm;https://goo.gl/HaBZSz;Síntese e Projeto de Processos;a
A074;Pinch analysis of the vinyl monochloride production process by the acetylene production route using the Aspen Energy Analyzer;Lucas de Araújo Santos Oliveira;Pôster;A definir;Local;https://goo.gl/Qw3TT9;https://goo.gl/5v2r6C;Integração e Intensificação de Processos;a
A075;Kinetic modeling of Ni2+ adsorption cycles in fixed bed column using artificial neural networks;Tiago Dias Martins;Oral;A definir;Local;https://goo.gl/jMZEPE;https://goo.gl/ns2rjB;Modelagem e Simulação de Processos;a
A076;Wort boiling advanced process control in a brewery;Flavio Waltz;Oral;A definir;Local;https://goo.gl/AXYnmy;https://goo.gl/EewYxP;Controle e Instrumentação de Processos;a
A077;Thermodynamic modeling of Water+MEG+NaCl applied for natural gas hydrate inhibitor regeneration process;Mario Hermes de Moura Neto;Pôster;A definir;Local;https://goo.gl/XH5s4z;https://goo.gl/ars5NN;Modelagem e Simulação de Processos;a
